1;1;0
1;2;0
1;25;0
2;2;0
2;3;0
3;3;0
3;4;0
3;25;0
4;4;0
4;5;0
4;24;0
4;25;0
5;5;0
5;6;0
5;24;0
6;6;0
6;7;0
6;23;0
6;24;0
7;7;0
7;8;0
7;22;0
8;8;0
8;9;0
8;22;0
9;9;0
9;10;0
9;15;0
9;16;0
9;17;0
9;21;0
9;22;0
10;10;0
10;11;0
10;13;0
10;15;0
11;11;0
11;12;0
11;13;0
12;12;2
12;13;2
12;14;2
13;13;0
13;14;0
13;15;0
14;14;0
14;15;0
14;16;0
15;15;1
15;16;1
16;16;0
16;17;0
16;18;0
17;17;0
17;18;0
17;21;0
18;18;0
18;19;0
18;20;0
19;19;0
19;20;0
20;20;0
20;21;0
21;21;0
21;22;0
21;23;0
21;27;0
22;22;0
22;23;0
23;23;0
23;24;0
23;26;0
24;24;0
24;25;0
24;26;0
25;25;0
25;26;0
26;26;0
26;27;0
27;27;3
